date,current_balance 
2018-12-07T00:00:00Z,10000.0 
2018-12-10T00:00:00Z,10000.0 
2018-12-11T00:00:00Z,10000.0 
2018-12-12T00:00:00Z,10000.0 
2018-12-13T00:00:00Z,10000.0 
2018-12-14T00:00:00Z,10000.0 
2018-12-17T00:00:00Z,10000.0 
2018-12-18T00:00:00Z,10000.0 
2018-12-19T00:00:00Z,10000.0 
2018-12-20T00:00:00Z,10000.0 
2018-12-21T00:00:00Z,10000.0 
2018-12-24T00:00:00Z,10000.0 
2018-12-26T00:00:00Z,10000.0 
2018-12-27T00:00:00Z,10000.0 
2018-12-28T00:00:00Z,10000.0 
2018-12-31T00:00:00Z,10000.0 
2019-01-02T00:00:00Z,10000.0 
2019-01-03T00:00:00Z,10000.0 
2019-01-04T00:00:00Z,10000.0 
2019-01-07T00:00:00Z,10000.0 
2019-01-08T00:00:00Z,10000.0 
2019-01-09T00:00:00Z,10000.0 
2019-01-10T00:00:00Z,10000.0 
2019-01-11T00:00:00Z,10000.0 
2019-01-14T00:00:00Z,10000.0 
2019-01-15T00:00:00Z,10000.0 
2019-01-16T00:00:00Z,10000.0 
2019-01-17T00:00:00Z,10000.0 
2019-01-18T00:00:00Z,10000.0 
2019-01-22T00:00:00Z,10000.0 
2019-01-23T00:00:00Z,10000.0 
2019-01-24T00:00:00Z,10000.0 
2019-01-25T00:00:00Z,10000.0 
2019-01-28T00:00:00Z,10000.0 
2019-01-29T00:00:00Z,10000.0 
2019-01-30T00:00:00Z,10000.0 
2019-01-31T00:00:00Z,10000.0 
2019-02-01T00:00:00Z,10000.0 
2019-02-04T00:00:00Z,10000.0 
2019-02-05T00:00:00Z,10000.0 
2019-02-06T00:00:00Z,10000.0 
2019-02-07T00:00:00Z,10000.0 
2019-02-08T00:00:00Z,10000.0 
2019-02-11T00:00:00Z,10000.0 
2019-02-12T00:00:00Z,10000.0 
2019-02-13T00:00:00Z,10000.0 
2019-02-14T00:00:00Z,10000.0 
2019-02-15T00:00:00Z,10000.0 
2019-02-19T00:00:00Z,10000.0 
2019-02-20T00:00:00Z,10000.0 
2019-02-21T00:00:00Z,10000.0 
2019-02-22T00:00:00Z,10000.0 
